Model,Accuracy,F1 Score (Macro),Precision (Macro),Recall (Macro)
SVM,0.464,0.4436282113785106,0.462165363657901,0.46225319396051107
DecisionTree,0.448,0.420822655890663,0.448738846945779,0.44579945799457993
KNN,0.456,0.4263359166376408,0.4236298915932783,0.45586527293844364
ANN,0.432,0.4264074224235694,0.43481231412265897,0.4314750290360046
RandomForest,0.528,0.5221338229294166,0.5219191058065739,0.5271002710027101
Ensemble,0.576,0.5618987341772151,0.5619351408825093,0.5749128919860628
